rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0115.jpg,46.0,0.5078,0.6304,0.4286,0.32,7,3,False,False
76,frame_0375.jpg,150.0,0.5075,0.6778,0.4286,0.2,9,3,False,False
77,frame_0225.jpg,90.0,0.5069,0.8104,0.2857,0.08,7,2,False,False
78,frame_0005.jpg,2.0,0.5066,0.4418,0.2857,1.0,5,2,False,False
79,frame_0179.jpg,71.6,0.5057,0.6206,0.5714,0.12,8,4,False,False
80,frame_0221.jpg,88.4,0.5053,0.6574,0.4286,0.24,6,3,False,False
81,frame_0368.jpg,147.2,0.5038,0.7344,0.4286,0.04,9,3,False,False
82,frame_0383.jpg,153.2,0.5031,0.6153,0.5714,0.12,6,4,False,False
83,frame_0373.jpg,149.2,0.5003,0.5937,0.5714,0.16,7,4,False,False
84,frame_0188.jpg,75.2,0.4997,0.4692,0.8571,0.04,8,6,False,False
85,frame_0071.jpg,28.4,0.4994,0.513,0.1429,1.0,6,1,False,False
86,frame_0395.jpg,158.0,0.4985,0.6062,0.5714,0.12,8,4,False,False
87,frame_0130.jpg,52.0,0.4972,0.5407,0.1429,0.92,3,1,False,False
88,frame_0181.jpg,72.4,0.496,0.7189,0.4286,0.04,7,3,False,False
89,frame_0321.jpg,128.4,0.4958,0.6544,0.4286,0.2,6,3,False,False
90,frame_0381.jpg,152.4,0.4954,0.7176,0.4286,0.04,7,3,False,False
91,frame_0278.jpg,111.2,0.4941,0.6887,0.2857,0.32,7,2,False,False
92,frame_0279.jpg,111.6,0.4923,0.5834,0.4286,0.36,6,3,False,False
93,frame_0114.jpg,45.6,0.492,0.7862,0.1429,0.28,6,1,False,False
94,frame_0113.jpg,45.2,0.491,0.7145,0.2857,0.24,6,2,False,False
95,frame_0007.jpg,2.8,0.488,0.4045,0.2857,1.0,4,2,False,False
96,frame_0193.jpg,77.2,0.4861,0.7048,0.2857,0.24,6,2,False,False
97,frame_0267.jpg,106.8,0.4832,0.5755,0.5714,0.12,6,4,False,False
98,frame_0018.jpg,7.2,0.4824,0.3933,0.2857,1.0,5,2,False,False
99,frame_0105.jpg,42.0,0.4817,0.6743,0.4286,0.08,6,3,False,False
100,frame_0324.jpg,129.6,0.4817,0.5886,0.5714,0.08,6,4,False,False
101,frame_0195.jpg,78.0,0.4814,0.5776,0.4286,0.32,4,3,False,False
102,frame_0330.jpg,132.0,0.4814,0.6896,0.4286,0.04,8,3,False,False
103,frame_0384.jpg,153.6,0.4807,0.726,0.2857,0.16,7,2,False,False
104,frame_0268.jpg,107.2,0.4799,0.6707,0.4286,0.08,6,3,False,False
105,frame_0294.jpg,117.6,0.4742,0.5746,0.1429,0.72,5,1,False,False
106,frame_0390.jpg,156.0,0.474,0.7446,0.2857,0.08,8,2,False,False
107,frame_0231.jpg,92.4,0.4738,0.7121,0.2857,0.16,8,2,False,False
108,frame_0006.jpg,2.4,0.4728,0.4599,0.1429,1.0,5,1,False,False
109,frame_0103.jpg,41.2,0.4695,0.6179,0.4286,0.16,4,3,False,False
110,frame_0296.jpg,118.4,0.4684,0.5093,0.2857,0.64,5,2,False,False
111,frame_0015.jpg,6.0,0.4675,0.5349,0.0,1.0,4,0,False,False
112,frame_0070.jpg,28.0,0.4675,0.4493,0.1429,1.0,5,1,False,False
113,frame_0305.jpg,122.0,0.4671,0.6507,0.2857,0.28,6,2,False,False
114,frame_0333.jpg,133.2,0.467,0.6449,0.4286,0.08,8,3,False,False
115,frame_0398.jpg,159.2,0.467,0.5808,0.4286,0.24,9,3,False,False
116,frame_0019.jpg,7.6,0.4665,0.4473,0.1429,1.0,3,1,False,False
117,frame_0068.jpg,27.2,0.4649,0.5298,0.0,1.0,8,0,False,False
118,frame_0167.jpg,66.8,0.4648,0.4324,0.4286,0.6,7,3,False,False
119,frame_0233.jpg,93.2,0.4643,0.6611,0.2857,0.24,6,2,False,False
120,frame_0320.jpg,128.0,0.4632,0.5732,0.4286,0.24,6,3,False,False
121,frame_0370.jpg,148.0,0.4614,0.6496,0.4286,0.04,7,3,False,False
122,frame_0308.jpg,123.2,0.459,0.6825,0.2857,0.16,7,2,False,False
123,frame_0332.jpg,132.8,0.4567,0.5546,0.5714,0.04,8,4,False,False
124,frame_0202.jpg,80.8,0.4565,0.5016,0.2857,0.6,5,2,False,False
125,frame_0299.jpg,119.6,0.4556,0.5317,0.2857,0.52,6,2,False,False
